Domain,Aspect,Range,A Unique Child (What a child might be doing),Positive Relationships (What adults might do),Enabling Environments (What adults might provide)
Mathematics,Number,Range 1,"• Reacts to changes of amount when those amounts are significant 
• Responds to size, reacting to very big or very small items ","• Notice and mirror children's reactions to changes in amount 
• Add to objects & draw attention to the change in amount 
• When feeding babies comment on whether they would like more ","• Provide small groups of the same objects in treasure baskets 
• Provide a range of objects of various lengths and weights "
Mathematics,Number,Range 2,"• May be aware of number names through their enjoyment of action rhymes 
• Looks for things which have moved out of sight ","• Take opportunities during play to sing number rhymes 
• During personal care routines make a point of using numbers 
• Play peek-a-boo hiding games ","• Plan to sing number rhymes with actions 
• Provide big and little versions of objects for children to play with 
• Share picture books showing objects of contrasting sizes "
Mathematics,Number,Range 3,"• Responds to words like lots or more 
• Says some counting words 
• Uses number words, like one or two ","• Talk with young children about lots, more and not many 
• Draw attention to contrasting differences and changes in amounts 
• Model counting things in everyday situations and routines ","• Play hiding games so children notice that something has gone 
• Provide varied sets of objects for playful opportunities 
• Count while engaging in everyday tasks "
Mathematics,Number,Range 4,"• Beginning to compare and recognise changes in numbers of things 
• Begins to say numbers in order, some of which are in the right order 
• In everyday situations, takes or gives two or three objects ","• Use the language of size and weight as children are involved in everyday play 
• Emphasise the sequence within familiar activities or routines 
• Encourage children to explore the collections they make ","• Provide a range of objects, including big, heavy and awkward ones 
• Provide different sizes and shapes of bags, boxes and containers 
• Provide buckets and bags for children to create collections "
Mathematics,Number,Range 5,"• Compares two small groups of up to five objects 
• May enjoy counting verbally as far as they can go 
• Subitises one, two and three objects ","• Encourage children to share items between two people or toys 
• Capitalise on children's fascination with counting by joining in 
• Enjoy counting forwards and back ","• Provide a numeral rich environment 
• Provide numerals that children can pick up and use 
• Provide resources indoors and outside for children to explore higher numbers "
Mathematics,Number,Range 6,"• Uses number names and symbols when comparing numbers 
• Enjoys reciting numbers from 0 to 10 (and beyond) 
• Engages in subitising numbers to four and maybe five ","• Model comparing numbers in problems about fair shares 
• Play games such as hide and seek that involve counting 
• Talk with children about the strategies they have used to solve a problem ","• Involve children in voting, e.g. for books to read 
• Discuss examples and display large numbers 
• Jump with children along a number track "
Understanding the World,People and Communities,Range 1,"• Starts to realise they influence people 
• Develops a sense of belonging to their family and their key carer ",• Provide opportunities for babies and toddlers to see people and things beyond the baby room ,"• Collect stories for, and make books about, children in the group 
• Provide books and resources which represent children's diverse backgrounds "
Understanding the World,People and Communities,Range 2,"• Recognises key people in their own lives 
• Is curious about people and shows interest in stories about people ","• Help children to learn each other's names 
• Be positive about differences between people ","• Make photographic books about the children in the setting 
• Provide positive images of all children including those with diverse physical characteristics "
Understanding the World,People and Communities,Range 3,"• Has a sense of own immediate family and relations and pets 
• In pretend play, imitates everyday actions and events ","• Talk to children about their friends, their families, and why they are important 
• Be sensitive to the possibility of children who may have lost special people ","• Share photographs of children's families, friends, pets 
• Support children's understanding of difference and of empathy "
Understanding the World,People and Communities,Range 4,"• Shows interest in the lives of people who are familiar to them 
• Enjoys joining in with family customs and routines ","• Encourage children to talk about their own home and community life 
• Ensure that children learning English as an additional language have opportunities ","• Plan extra time for helping children in transition 
• Provide activities and opportunities for children to share experiences "
Understanding the World,People and Communities,Range 5,"• Knows some of the things that make them unique 
• Talks about past and present events in their own life ","• Share stories about people from the past who have an influence on the present 
• Encourage children to share their feelings and talk about why they respond to experiences ","• Invite children and families with experiences of living in other countries 
• Provide role-play areas with a variety of resources reflecting diversity "
Understanding the World,People and Communities,Range 6,"• Knows that other children do not always enjoy the same things 
• Knows about similarities and differences between themselves and others ","• Help children and parents to see the ways in which their cultures and beliefs are similar 
• Visit different parts of the local community ","• Make a display with the children, showing all the people who make up the community 
• Share stories that reflect the diversity of children's experiences "
Understanding the World,The World,Range 1,"• Moves eyes, then head, to follow moving objects 
• Reacts with abrupt change when a face or object suddenly disappears ",• Encourage young babies' movements through your interactions ,"• Provide a range of everyday and natural objects to explore 
• Provide additional interest - make small changes "
Understanding the World,The World,Range 2,"• Smiles with pleasure at recognisable playthings 
• Repeats actions that have an effect ","• Play hiding and finding games inside and outdoors 
• Plan varied arrangements of equipment and materials ","• Provide lift-the-flap books 
• Play hide-and-seek outside "
Understanding the World,The World,Range 3,"• Becomes absorbed in combining objects 
• Knows things are used in different ways ","• Talk with children about their responses to sights, sounds and smells 
• Encourage young children to explore puddles, trees and surfaces ","• Display and talk about photographs of babies' favourite places 
• Take babies on regular outings to a range of local environments "
Understanding the World,The World,Range 4,"• Notices detailed features of objects in their environment 
• Can talk about some of the things they have observed ","• Tell stories about places and journeys 
• Use parents' knowledge to extend children's experiences ","• Make use of outdoor areas to give opportunities for investigations 
• Provide story and information books about places "
Understanding the World,The World,Range 5,"• Comments and asks questions about aspects of their familiar world 
• Talks about why things happen and how things work ","• Support children with sensory impairment 
• Arouse awareness of features of the environment ","• Use the local area for exploring both the built and the natural environment 
• Provide opportunities to observe things closely "
Understanding the World,The World,Range 6,"• Looks closely at similarities, differences, patterns and change in nature 
• Knows about similarities and differences in relation to places, objects ","• Help children to notice and discuss patterns around them 
• Use appropriate words to help children make distinctions ","• Give opportunities to record and creatively represent findings 
• Provide stories that help children to make sense of different environments "
Expressive Arts and Design,Creating with Materials,Range 1,"• Experiments with a range of media - tools, materials, sound ","• Attend to how babies and children are using their whole body 
• Welcome the ways in which babies and children arrange materials ","• Create a rich and well-ordered environment 
• Choose and select with intention the materials and tools available "
Expressive Arts and Design,Creating with Materials,Range 2,"• Continues to explore and experiment with an increasing range of media 
• Moves while singing/vocalising ","• Listen to and enjoy with children a variety of sounds 
• Sensitively introduce children to language to describe sounds ","• Offer a variety of objects that will make different sounds 
• Create opportunities to encounter and revisit key materials "
Expressive Arts and Design,Creating with Materials,Range 3,"• Mirrors and improvises actions they have observed 
• Sings/vocalises whilst listening to music ","• Understand that young children's creative and expressive processes are part of their development 
• Become familiar with the properties and characteristics of materials ","• Create space and time for movement and dance 
• Plan a varied and appropriate series of live performances "
Expressive Arts and Design,Creating with Materials,Range 4,"• Joins in singing songs 
• Creates sounds by rubbing, shaking, tapping ","• Observe, analyse and document the processes involved 
• Help children to listen to music and watch dance ","• Draw on a wide range of art works from a variety of cultural backgrounds 
• Continue to provide opportunities to encounter and revisit key materials "
Expressive Arts and Design,Creating with Materials,Range 5,"• Explores and learns how sounds and movements can be changed 
• Continues to explore moving in a range of ways ","• Support children's talk by sharing terms used by artists 
• When children have a strong intention in mind, support them in thinking ","• Offer resources for mixing colours, joining things together 
• Create a place where work in progress can be kept safely "
Expressive Arts and Design,Creating with Materials,Range 6,"• Begins to build a collection of songs and dances 
• Makes music in a range of ways ","• Draw attention to children's choice and use of materials 
• Use individual, small group, and large group discussion ","• Offer opportunities to encounter and revisit key materials 
• Provide a range of joining materials "
Understanding the World,Technology,Range 1-2,"• The beginnings of understanding technology lie in babies exploring and making sense of objects.
• Anticipates repeated sounds, sights and actions, e.g. when an adult demonstrates an action toy.","• Comment on the ways in which young children investigate how to push, pull, lift or press parts of toys.
• Talk about the effect of children's actions, as they investigate what things can do.","• Have available robust resources with knobs, flaps, keys or shutters.
• Incorporate technology resources that children recognise into their play, such as a camera."
Understanding the World,Technology,Range 3,"• Seeks to acquire basic skills in turning on and operating some digital equipment.
• Operates mechanical toys, e.g. turns the knob on a wind-up toy.","• Support children in exploring the control technology of toys, e.g. toy electronic keyboard.
• Talk about digital and other electric equipment, what it does and how to use it safely.","• Provide safe equipment to play with, such as torches and walkie-talkies.
• Let children use machines like the photocopier to copy their own pictures."
Understanding the World,Technology,Range 4,"• Plays with water to investigate 'low technology' such as washing and cleaning.
• Uses pipes, funnels and other tools to carry/transport water.",• Talk to children about 'low technologies' such as washing and drying.,"• Provide a range of materials for children to 'stain' and wash outside.
• Provide a range of pipes, funnels, containers, water wheels and water."
Understanding the World,Technology,Range 5,"• Knows how to operate simple equipment, e.g. turns on CD player, uses a remote control.
• Shows an interest in technological toys with knobs or pulleys.
• Shows skill in making toys work by pressing parts or lifting flaps.","• Support and extend the skills children develop as they become familiar with simple equipment.
• Draw young children's attention to pieces of digital apparatus they see.
• Talk to children about their uses of technologies at home.","• When out in the locality, ask children to help to press the button at the pelican crossing.
• Provide a range of materials that enable children to explore cause and effect.
• Provide a range of programmable toys for children to play with."
Understanding the World,Technology,Range 6,"• Completes a simple program on electronic devices.
• Uses ICT hardware to interact with age-appropriate computer software.
• Can create content such as a video recording, stories, and/or draw a picture on screen.","• Support children to be curious in grappling with cause and effect.
• Encourage children to speculate on the reasons why things happen.
• Teach and encourage children to click on different icons to cause things to happen.","• Provide a range of materials and objects to play with that work in different ways (egg whisk, torch, pulleys).
• Retrieve content and use to facilitate discussions, allowing children to recall trips/past events."
Expressive Arts and Design,Being Imaginative and Expressive,Range 1-2,"• Responds to and engages with the world that surrounds them, e.g. sounds, movement.
• Expresses self through physical actions and sound.
• Pretends that one object represents another.","• Notice the ways in which babies react to other babies and adults.
• Show genuine interest and be willing to play along with a young child who is beginning to pretend.","• Create a rich environment that enables babies and children to use all their senses.
• Provide babies and children with a range of experiences to feed their imaginative potential.
• Provide a range of resources including familiar and non-specific items."
Expressive Arts and Design,Being Imaginative and Expressive,Range 3,"• Creates sound effects and movements, e.g. creates the sound of a car.
• Uses everyday materials to explore, understand and represent their world.","• Observe and sometimes take part in children's make-believe play.
• Observe and reflect on the children's own explorations and creations.","• Offer a variety of stimulating resources that can be used in different ways.
• Create time and space for children to develop their own creations."
Expressive Arts and Design,Being Imaginative and Expressive,Range 4,"• Begins to make believe by pretending using sounds, movements, words.
• Creates rhythmic sounds and movements.","• Support children's development of imaginary worlds by encouraging new experiences.
• Share a diverse range of text, image-based and oral stories.","• Ensure children have opportunities to experience the world outside the setting.
• Tell stories based on children's experiences and the people and places they know well."
Expressive Arts and Design,Being Imaginative and Expressive,Range 5,"• Uses movement and sounds to express experiences, expertise, ideas and feelings.
• Experiments and creates movement in response to music, stories and ideas.
• Sings to self and makes up simple songs.","• Co-create stories with children based on their ideas, experiences.
• Enrich the environment inside and out with materials, resources, natural objects.
• Recognise and promote children's agency in expressing their unique and subjective viewpoint.","• Offer children a wide variety of materials and resources to build, become, and represent.
• Provide children with opportunities to develop their enquiries using materials and tools over extended periods."
Expressive Arts and Design,Being Imaginative and Expressive,Range 6,"• Creates representations of both imaginary and real-life ideas, events, people.
• Initiates new combinations of movements and gestures in order to express feelings.
• Uses combinations of art forms, e.g. moving and singing.","• Support children to gain confidence in their own way of representing and sharing ideas.
• Support children in communicating through their bodies by responding to movement.
• Celebrate children's imaginative ideas and creations by sharing them.","• Make materials accessible so that children are able to imagine and develop their enquiries.
• Introduce descriptive language to support children within the context of their own imaginative experiences."
Mathematics,Spatial Awareness,Range 1,"• Explores space when they are free to move, roll and stretch 
• Developing an awareness of their own bodies, that their body has different parts and where these are in relation to each other ","• Support babies' developing awareness of their own bodies e.g. through baby massage and singing songs 
• During floor play sometimes place objects that are just in or just out of reach ","• Provide opportunities for babies to move freely on carpets, grass etc. 
• Provide low mirrors to support babies to develop a body awareness "
Mathematics,Shape,Range 1,"• Explores differently sized and shaped objects 
• Beginning to put objects of similar shapes inside others and take them out again ","• Encourage babies' explorations of the characteristics of objects, e.g. by rolling a ball 
• Demonstrate putting items inside others of similar shape ","• Provide interestingly shaped objects to explore 
• Make towers for children to knock down using objects that stack "
Mathematics,Pattern,Range 1,"• Shows interest in patterned songs and rhymes, perhaps with repeated actions 
• Experiences patterned objects and images 
• Begins to predict what happens next in predictable situations ","• Sing patterned songs and rhymes with predictable movements or actions 
• Move with babies to the rhythm patterns in familiar songs 
• Use repeated noises, movements and activities ","• Plan for adults to have time to enjoy repetitive activities with babies 
• Provide resources with high-contrast patterns "
Mathematics,Measures,Range 1,"• Responds to size, reacting to very big or very small items that they see or try to pick up ","• Comment on the size and weight of objects when babies grasp objects that are big or heavy 
• During water play and bathing routines, show filling and emptying containers ",• Provide a range of objects of various lengths and weights in treasure baskets 
Mathematics,Spatial Awareness,Range 2,• Explores space around them and engages with position and direction ,"• Use spatial words during everyday play and routines 
• Take opportunities to play hide and reveal games with objects ","• Play games that involve curling and stretching, popping up and bobbing down 
• Provide boxes, cloths and bags for children to store, hide and transport items "
Mathematics,Shape,Range 2,"• Stacks objects using flat surfaces 
• Responds to changes of shape 
• Attempts, sometimes successfully, to match shapes with spaces on inset puzzles ",• When playing with malleable materials draw attention to shapes as they are created and changed ,"• Provide blocks and boxes to stack, build and solve problems with 
• Provide a range of inset puzzles and support children as they explore matching shapes with spaces "
Mathematics,Pattern,Range 2,"• Joins in with repeated actions in songs and stories 
• Initiates and continues repeated actions ","• Talk about patterns in the environment e.g. spots and stripes on clothing 
• Spot opportunities to play 'back and forth' and repetitive 'again' games ","• Sing familiar songs with repeated actions, jig to and tap out simple beats 
• Provide items for children to make repetitive sounds "
Mathematics,Measures,Range 2,"• Shows an interest in objects of contrasting sizes in meaningful contexts 
• Gets to know and enjoys daily routine 
• Shows an interest in emptying containers ","• During play and everyday contexts, comment on the sizes and weights of objects 
• Talk about what is going to happen and what has happened during the day using first, next and then ","• Provide big and little versions of objects for children to play with and compare 
• Share picture books showing objects of contrasting sizes "
Mathematics,Spatial Awareness,Range 3,"• Enjoys filling and emptying containers 
• Investigates fitting themselves inside and moving through spaces 
• Moves their bodies and toys around objects and explores fitting into spaces 
• Begins to remember their way around familiar environments ","• Support children's interest in body-sized spaces and provide commentary on the child going inside, under, over 
• Look for opportunities to use spatial language during play activities 
• Encourage children to predict what they will see next on a familiar route ","• Designate specific places or spaces for items to be kept and fitted into for tidying 
• Respect children's urge to explore spaces, to get inside and move between 
• Design outdoor spaces where children can learn through a variety of spatial experiences "
Mathematics,Shape,Range 3,"• Pushes objects through different shaped holes, and attempts to fit shapes into spaces on inset boards 
• Beginning to select a shape for a specific space 
• Enjoys using blocks to create their own simple structures ","• Model thinking about the properties of shapes when selecting them to fit into spaces 
• When playing alongside children who are building, provide commentary about the shapes you are using ","• Provide shape sorters and packaging where children can hide, enclose or post items through holes 
• Provide a range of inset board and puzzles with large pieces 
• Provide a range of construction materials for independent play "
Mathematics,Pattern,Range 3,"• Becoming familiar with patterns in daily routines 
• Joins in with and predicts what comes next in a story or rhyme 
• Beginning to arrange items in their own patterns, e.g. lining up toys ","• Highlight different times of the day and talk about what comes next within the pattern of the day 
• Leave a space for children to do the next action or word in familiar songs 
• Comment on what is the same and what is over and over again in patterns ",• Plan to share stories and songs that contain repeated elements which help children to anticipate what might come next 
Mathematics,Measures,Range 3,"• Shows an interest in size and weight 
• Explores capacity by selecting, filling and emptying containers 
• Beginning to understand that things might happen now or at another time ","• Use the language of size and weight as children are involved in everyday play and routines 
• Use the language of capacity as children explore water or sand 
• Emphasise the sequence within familiar activities or routines ","• Provide a range of objects, including big, heavy and awkward ones 
• Provide different sizes and shapes of bags, boxes and containers so that children can experiment with filling 
• Plan to share images and books which show the order of daily routines "
Mathematics,Shape,Range 4,"• Chooses puzzle pieces and tries to fit them in 
• Recognises that two objects have the same shape 
• Makes simple constructions ","• Chat about the shape of the pieces and the holes when fitting pieces into inset puzzles 
• Model comparing two objects to see if they have the same shape 
• Model your thinking when building ","• Provide a range of inset and jigsaw puzzles of increasing complexity 
• Provide a variety of construction materials including some with identical pieces "
Mathematics,Pattern,Range 4,"• Joins in and anticipates repeated sound and action patterns 
• Is interested in what happens next using the pattern of everyday routines ","• Talk with children about the patterns you notice around you 
• Comment on and help children to recognise the patterns they make in their mark making 
• Draw children's attention to the patterns in their routines by asking what comes next ","• Provide a range of natural and everyday materials, as well as blocks and shapes, with which to make patterns 
• Plan opportunities for children to experience pattern such as percussion, music and action games "
Mathematics,Measures,Range 4,"• Explores differences in size, length, weight and capacity 
• Beginning to understand some talk about immediate past and future 
• Beginning to anticipate times of the day such as mealtimes ","• Use everyday opportunities to describe everyday items and contexts using informal language of size, length, weight and capacity 
• Observe children's problem-solving when ordering things by size 
• In everyday activities, make a commentary about the sequence of events ","• Provide similar items of contrasting sizes so that children have many opportunities to encounter the language of size 
• Provide resources with clearly different weights to support direct comparison 
• Provide equipment with varied capacities and shapes "
Mathematics,Number/Counting,Range 5,"• Compares two small groups of up to five objects 
• May enjoy counting verbally as far as they can go 
• Subitises one, two and three objects (without counting) 
• Counts up to five items, recognising that the last number said represents the total 
• Links numerals with amounts up to 5 and maybe beyond 
• Through play and exploration, beginning to learn that numbers are made up (composed) of smaller numbers ","• Encourage children to share items between two people or toys 
• Capitalise on children's fascination with counting by joining in when they count 
• Model and encourage counting and representing numbers within role play 
• When counting objects with children emphasise the cardinal principle 
• Emphasise the one more, one less pattern in rhymes and traditional tales ","• Provide a numeral rich environment, e.g. in role-play areas 
• Provide resources indoors and outside for children to explore and talk about higher numbers 
• Model using objects to illustrate counting songs, rhymes and number stories 
• Play with either dot or numeral dice 
• Explore different arrangements of the same number, e.g. partitioning five in different ways "
Mathematics,Spatial Awareness,Range 5,"• Responds to and uses language of position and direction 
• Predicts, moves and rotates objects to fit the space or create the shape they would like ","• When children are exploring, use the language of position and direction in context 
• On walks, in pictures or while playing, point out how things or people that are far away look smaller 
• Support children in their problem solving when they are creating rail tracks and road layouts ","• Provide opportunities for children to explore position themselves inside, behind, on top 
• Provide picture books to stimulate discussion about position and direction 
• Create trails and treasure hunts with the children "
Mathematics,Shape,Range 5,"• Chooses items based on their shape which are appropriate for the child's purpose 
• Responds to both informal language and common shape names 
• Shows awareness of shape similarities and differences 
• Enjoys partitioning and combining shapes to make new shapes ","• Help children to choose shapes for a purpose 
• As children experience shapes, use informal language, common shape names and 'nearly' shapes 
• Discuss how shapes can be partitioned in everyday contexts 
• Value children's constructions and solutions to problems ","• Provide differently shaped resources to handle, carry, move and explore 
• Provide large and small blocks and boxes for construction both indoors and outdoors "
Mathematics,Pattern,Range 5,"• Creates their own spatial patterns showing some organisation or regularity 
• Explores and adds to simple linear patterns of two or three repeating items 
• Joins in with simple patterns in sounds, objects, games and stories ","• Whilst playing alongside children, model simple repeating patterns of two or three items 
• Demonstrate arranging objects in spatial patterns when building 
• Draw children's attention to patterns around them including from a range of cultures ","• Provide a range of items for free exploration of patterning indoors and outdoors 
• Encourage children to join in with body patterns or repeating sections of songs 
• Pause to encourage prediction when enjoying stories and rhymes with repeating elements "
Mathematics,Measures,Range 5,"• In meaningful contexts, finds the longer or shorter, heavier or lighter and more/less full of two items 
• Recalls a sequence of events in everyday life and stories ","• During play, model comparing lengths and distances 
• Look out for meaningful opportunities for children to compare by length, weight, capacity and time 
• Encourage children to respond to and use words such as before, after, soon or later ","• Provide problem-solving opportunities indoors and outdoors for comparing length, weight and capacity 
• Encourage children to participate in seesaw and balance scale play 
• Ask children to predict What happens next? using visual timetables "
Mathematics,Number/Counting,Range 6,"• Uses number names and symbols when comparing numbers 
• Enjoys reciting numbers from 0 to 10 (and beyond) and back 
• Increasingly confident at putting numerals in order 0 to 10 
• Engages in subitising numbers to four and maybe five 
• Counts out up to 10 objects from a larger group 
• Shows awareness that numbers are made up (composed) of smaller numbers 
• Begins to explore and work out mathematical problems, using signs and strategies ","• Model comparing numbers in problems about fair shares 
• Play games such as hide and seek that involve counting, forwards and backwards 
• Discuss the order of numbers in context 
• Enjoy subitising games and sustained shared thinking about number 
• Encourage children to make predictions and visualise the outcome in stories 
• Talk to children about the marks and signs they use to represent and communicate their thinking ","• Involve children in voting, e.g. for books to read at story time 
• Discuss examples and display large numbers including hundreds, thousands and a million 
• Jump with children along a number track 
• Plan opportunities to order mixed-up numerals 
• Pose everyday estimation problems and establish mental estimation benchmarks 
• Provide dice, board and card games "
Mathematics,Spatial Awareness,Range 6,"• Uses spatial language, including following and giving directions 
• Investigates turning and flipping objects in order to make shapes fit and create models 
• May enjoy making simple maps of familiar and imaginative environments ","• Encourage the use of relative terms (in front of, behind, before and after) 
• Encourage children to explore what can be seen from different viewpoints 
• Encourage children to describe position and give directions in play 
• Encourage children to create scaled-down models such as in small world play ","• Play barrier games (where players have an identical set of objects which are hidden from each other) 
• Plan opportunities for children to describe and recall familiar routes 
• Engage families in taking photos of familiar things from different viewpoints "
Mathematics,Shape,Range 6,"• Uses informal language and analogies... as well as mathematical terms to describe shapes 
• Enjoys composing and decomposing shapes 
• Uses own ideas to make models of increasing complexity ","• Encourage children to use the names of shapes and their properties 
• Discuss different examples of the same shape in a variety of orientations 
• Take opportunities to discuss the shapes that children paint, draw and collage 
• Challenge children to make more complex constructions such as towers of arches ","• Provide resources for shape play including unit blocks, pattern blocks, mosaic tiles 
• Teach strategies for solving shape and jigsaw puzzles 
• Play games focussing on the properties of shapes, such as hiding and partially revealing a shape "
Mathematics,Pattern,Range 6,"• Spots patterns in the environment, beginning to identify the pattern 'rule' 
• Chooses familiar objects to create and recreate repeating patterns beyond AB patterns ","• Encourage children to notice and appreciate a range of patterns involving repetition and symmetry 
• Model using symbols to represent a pattern in other ways 
• Make deliberate mistakes when creating patterns alongside children ","• Provide opportunities for printing patterns using a variety of objects 
• Using photos, challenge children to copy and continue patterns 
• Invite children to create a pattern with the same structure using different objects "
Mathematics,Measures,Range 6,"• Enjoys tackling problems involving prediction and discussion of comparisons 
• Becomes familiar with measuring tools in everyday experiences and play 
• Is increasingly able to order and sequence events using everyday language related to time ","• When comparing the length, weight and capacity of things... encourage children to predict and give reasons 
• Discuss accuracy, for instance matching ends or starting points 
• Support timed challenges by timing runs, trails, obstacle courses 
• Discuss the order and sequence of events in routines and role play ","• Have areas where children can explore the properties of objects, compare lengths, weigh and measure 
• Provide pictorial sequences for instructions 
• Model using measuring tools including height charts, rulers, tape-measures, scales and timers 
• Sing songs about the days of the week and months of the year "
Understanding the World,Technology,Range 1-2,"• The beginnings of understanding technology lie in babies exploring and making sense of objects 
• Anticipates repeated sounds, sights and actions, e.g. when an adult demonstrates an action toy 
• Shows interest in toys with buttons, flaps and simple mechanisms ","• Comment on the ways in which young children investigate how to push, pull, lift or press parts of toys 
• Talk about the effect of children's actions, as they investigate what things can do ","• Have available robust resources with knobs, flaps, keys or shutters 
• Incorporate technology resources that children recognise into their play, such as a camera "
Understanding the World,Technology,Range 3,"• Seeks to acquire basic skills in turning on and operating some digital equipment 
• Operates mechanical toys, e.g. turns the knob on a wind-up toy ","• Support children in exploring the control technology of toys, e.g. toy electronic keyboard 
• Talk about digital and other electric equipment, what it does and how to use it safely ","• Provide safe equipment to play with, such as torches and walkie-talkies 
• Let children use machines like the photocopier to copy their own pictures "
Understanding the World,Technology,Range 4,"• Plays with water to investigate 'low technology' such as washing and cleaning 
• Uses pipes, funnels and other tools to carry/transport water from one place to another ",• Talk to children about 'low technologies' such as washing and drying ,"• Provide a range of materials for children to 'stain' and have a go at washing outside 
• Provide a range of pipes, funnels, containers, water wheels and water "
Understanding the World,Technology,Range 5,"• Knows how to operate simple equipment, e.g. turns on CD player, uses a remote control 
• Shows an interest in technological toys with knobs or pulleys 
• Shows skill in making toys work by pressing parts or lifting flaps ","• Support and extend the skills children develop as they become familiar with simple equipment 
• Draw young children's attention to pieces of digital apparatus they see 
• Talk to children about their uses of technologies at home 
• Support children to be curious in grappling with cause and effect ","• When out in the locality, ask children to help to press the button at the pelican crossing 
• Provide a range of materials that enable children to explore cause and effect 
• Provide a range of programmable toys for children to play with "
Understanding the World,Technology,Range 6,"• Completes a simple program on electronic devices 
• Uses ICT hardware to interact with age-appropriate computer software 
• Can create content such as a video recording, stories, and/or draw a picture on screen 
• Can use the internet with adult supervision to find and retrieve information ","• Encourage children to speculate on the reasons why things happen or how things work 
• Support children to coordinate actions to use technology 
• Teach and encourage children to click on different icons to cause things to happen ","• Provide a range of materials and objects to play with that work in different ways for different purposes 
• Retrieve content and use to facilitate discussions, allowing children to recall trips/past events "
Expressive Arts and Design,Being Imaginative and Expressive,Range 1-2,"• Responds to and engages with the world that surrounds them, e.g. sounds, movement 
• Expresses self through physical actions and sound 
• Pretends that one object represents another ","• Notice the ways in which babies react to other babies and adults 
• Tune into and sensitively respond to babies' and children's expressive and communicative actions 
• Show genuine interest and be willing to play along with a young child who is beginning to pretend ","• Create a rich environment that enables babies and children to use all their senses 
• Provide babies and children with a range of experiences to feed their imaginative potential 
• Provide a range of resources including familiar and non-specific items that can be used in a range of ways "
Expressive Arts and Design,Being Imaginative and Expressive,Range 3,"• Creates sound effects and movements, e.g. creates the sound of a car 
• Uses everyday materials to explore, understand and represent their world ","• Observe and sometimes take part in children's make-believe play 
• Observe and reflect on the children's own explorations and creations ","• Offer a variety of stimulating resources that can be used in different ways 
• Create time and space for children to develop their own creations "
Expressive Arts and Design,Being Imaginative and Expressive,Range 4,"• Begins to make believe by pretending using sounds, movements, words 
• Creates rhythmic sounds and movements ","• Ensure children have opportunities to experience the world outside the setting 
• Support children's development of imaginary worlds by encouraging new experiences 
• Share a diverse range of text, image-based and oral stories ","• Tell stories based on children's experiences and the people and places they know well 
• Create spaces for children to respond to stories and their representing their ideas "
Expressive Arts and Design,Being Imaginative and Expressive,Range 5,"• Uses movement and sounds to express experiences, expertise, ideas and feelings 
• Experiments and creates movement in response to music, stories and ideas 
• Sings to self and makes up simple songs ","• Co-create stories with children based on their ideas, experiences 
• Enrich the environment inside and out with materials, resources, natural objects 
• Recognise and promote children's agency in expressing their unique and subjective viewpoint ","• Offer children a wide variety of materials and resources to build, become, and represent 
• Provide children with opportunities to develop their enquiries using materials and tools over extended periods "
Expressive Arts and Design,Being Imaginative and Expressive,Range 6,"• Creates representations of both imaginary and real-life ideas, events, people 
• Initiates new combinations of movements and gestures 
• Uses combinations of art forms, e.g. moving and singing 
• Responds imaginatively to art works and objects 
• Introduces a storyline or narrative into their play ","• Support children to gain confidence in their own way of representing and sharing ideas 
• Support children in communicating through their bodies by responding to movement 
• Celebrate children's imaginative ideas and creations by sharing them ","• Make materials accessible so that children are able to imagine and develop their enquiries 
• Introduce descriptive language to support children within the context of their own imaginative experiences "
