Song,Show,Specific Production,Album,BPM,YouTube Link
"Ready Set, Not Yet",Beetlejuice,Original Broadway,Beetlejuice (OBCR),120,https://www.youtube.com/results?search_query=Ready+Set+Not+Yet+Official+Audio+Beetlejuice
"The Whole ""Being Dead"" Thing, Pt. 2",Beetlejuice,Original Broadway,Beetlejuice (OBCR),154,https://www.youtube.com/results?search_query=The+Whole+Being+Dead+Thing+Pt+2+Official+Audio+Beetlejuice
"Dead Mom",Beetlejuice,Original Broadway,Beetlejuice (OBCR),150,https://www.youtube.com/results?search_query=Dead+Mom+Official+Audio+Beetlejuice
"Fright of Their Lives",Beetlejuice,Original Broadway,Beetlejuice (OBCR),135,https://www.youtube.com/results?search_query=Fright+of+Their+Lives+Official+Audio+Beetlejuice
"Ready Set, Not Yet (Reprise)",Beetlejuice,Original Broadway,Beetlejuice (OBCR),120,https://www.youtube.com/results?search_query=Ready+Set+Not+Yet+Reprise+Official+Audio+Beetlejuice
"No Reason",Beetlejuice,Original Broadway,Beetlejuice (OBCR),128,https://www.youtube.com/results?search_query=No+Reason+Official+Audio+Beetlejuice
"Invisible (Reprise) / On the Roof",Beetlejuice,Original Broadway,Beetlejuice (OBCR),85,https://www.youtube.com/results?search_query=Invisible+Reprise+On+the+Roof+Official+Audio+Beetlejuice
"Say My Name",Beetlejuice,Original Broadway,Beetlejuice (OBCR),128,https://www.youtube.com/results?search_query=Say+My+Name+Official+Audio+Beetlejuice
"Day-O (The Banana Boat Song)",Beetlejuice,Original Broadway,Beetlejuice (OBCR),115,https://www.youtube.com/results?search_query=Day-O+The+Banana+Boat+Song+Official+Audio+Beetlejuice
"Girl Scout",Beetlejuice,Original Broadway,Beetlejuice (OBCR),105,https://www.youtube.com/results?search_query=Girl+Scout+Official+Audio+Beetlejuice
"That Beautiful Sound",Beetlejuice,Original Broadway,Beetlejuice (OBCR),142,https://www.youtube.com/results?search_query=That+Beautiful+Sound+Official+Audio+Beetlejuice
"Barbara 2.0",Beetlejuice,Original Broadway,Beetlejuice (OBCR),108,https://www.youtube.com/results?search_query=Barbara+2+0+Official+Audio+Beetlejuice
"What I Know Now",Beetlejuice,Original Broadway,Beetlejuice (OBCR),125,https://www.youtube.com/results?search_query=What+I+Know+Now+Official+Audio+Beetlejuice
"Home",Beetlejuice,Original Broadway,Beetlejuice (OBCR),75,https://www.youtube.com/results?search_query=Home+Official+Audio+Beetlejuice
"Creepy Old Guy",Beetlejuice,Original Broadway,Beetlejuice (OBCR),124,https://www.youtube.com/results?search_query=Creepy+Old+Guy+Official+Audio+Beetlejuice
"Jump in the Line",Beetlejuice,Original Broadway,Beetlejuice (OBCR),115,https://www.youtube.com/results?search_query=Jump+in+the+Line+Official+Audio+Beetlejuice
"Circle of Life",The Lion King,Original Broadway,The Lion King (OBCR),85,https://www.youtube.com/results?search_query=Circle+of+Life+Official+Audio+Lion+King+Broadway
"Grasslands Chant",The Lion King,Original Broadway,The Lion King (OBCR),100,https://www.youtube.com/results?search_query=Grasslands+Chant+Official+Audio+Lion+King+Broadway
"The Morning Report",The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=The+Morning+Report+Official+Audio+Lion+King+Broadway
"The Lioness Hunt",The Lion King,Original Broadway,The Lion King (OBCR),125,https://www.youtube.com/results?search_query=The+Lioness+Hunt+Official+Audio+Lion+King+Broadway
"I Just Can't Wait to Be King",The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=I+Just+Cant+Wait+to+Be+King+Official+Audio+Lion+King+Broadway
"Chow Down",The Lion King,Original Broadway,The Lion King (OBCR),135,https://www.youtube.com/results?search_query=Chow+Down+Official+Audio+Lion+King+Broadway
"They Live in You",The Lion King,Original Broadway,The Lion King (OBCR),94,https://www.youtube.com/results?search_query=They+Live+in+You+Official+Audio+Lion+King+Broadway
"Be Prepared",The Lion King,Original Broadway,The Lion King (OBCR),105,https://www.youtube.com/results?search_query=Be+Prepared+Official+Audio+Lion+King+Broadway
"The Stampede",The Lion King,Original Broadway,The Lion King (OBCR),140,https://www.youtube.com/results?search_query=The+Stampede+Official+Audio+Lion+King+Broadway
"Rafiki Mourns",The Lion King,Original Broadway,The Lion King (OBCR),60,https://www.youtube.com/results?search_query=Rafiki+Mourns+Official+Audio+Lion+King+Broadway
"Hakuna Matata",The Lion King,Original Broadway,The Lion King (OBCR),120,https://www.youtube.com/results?search_query=Hakuna+Matata+Official+Audio+Lion+King+Broadway
"One by One",The Lion King,Original Broadway,The Lion King (OBCR),108,https://www.youtube.com/results?search_query=One+by+One+Official+Audio+Lion+King+Broadway
"The Madness of King Scar",The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=The+Madness+of+King+Scar+Official+Audio+Lion+King+Broadway
"Shadowland",The Lion King,Original Broadway,The Lion King (OBCR),64,https://www.youtube.com/results?search_query=Shadowland+Official+Audio+Lion+King+Broadway
"The Lion Sleeps Tonight",The Lion King,Original Broadway,The Lion King (OBCR),115,https://www.youtube.com/results?search_query=The+Lion+Sleeps+Tonight+Official+Audio+Lion+King+Broadway
"Endless Night",The Lion King,Original Broadway,The Lion King (OBCR),88,https://www.youtube.com/results?search_query=Endless+Night+Official+Audio+Lion+King+Broadway
"Can You Feel the Love Tonight",The Lion King,Original Broadway,The Lion King (OBCR),65,https://www.youtube.com/results?search_query=Can+You+Feel+the+Love+Tonight+Official+Audio+Lion+King+Broadway
"He Lives in You (Reprise)",The Lion King,Original Broadway,The Lion King (OBCR),94,https://www.youtube.com/results?search_query=He+Lives+in+You+Reprise+Official+Audio+Lion+King+Broadway
"Simba Confronts Scar",The Lion King,Original Broadway,The Lion King (OBCR),120,https://www.youtube.com/results?search_query=Simba+Confronts+Scar+Official+Audio+Lion+King+Broadway
"King of Pride Rock / Circle of Life (Reprise)",The Lion King,Original Broadway,The Lion King (OBCR),85,https://www.youtube.com/results?search_query=King+of+Pride+Rock+Circle+of+Life+Reprise+Official+Audio+Lion+King+Broadway
