Song,Show,Specific Production,Album,BPM,YouTube Link,Length
She Used to Be Mine,Waitress,Original Broadway,Waitress (OBCR),74,https://www.youtube.com/results?search_query=She+Used+to+Be+Mine+Official+Audio+Waitress,4:20
Contraction Ballet,Waitress,Original Broadway,Waitress (OBCR),100,https://www.youtube.com/results?search_query=Contraction+Ballet+Official+Audio+Waitress,1:02
Everything Changes,Waitress,Original Broadway,Waitress (OBCR),86,https://www.youtube.com/results?search_query=Everything+Changes+Official+Audio+Waitress,3:02
Opening Up (Finale),Waitress,Original Broadway,Waitress (OBCR),134,https://www.youtube.com/results?search_query=Opening+Up+Finale+Official+Audio+Waitress,1:44
Prologue: Invisible,Beetlejuice,Original Broadway,Beetlejuice (OBCR),85,https://www.youtube.com/results?search_query=Prologue+Invisible+Official+Audio+Beetlejuice,2:43
"The Whole ""Being Dead"" Thing",Beetlejuice,Original Broadway,Beetlejuice (OBCR),154,https://www.youtube.com/results?search_query=The+Whole+Being+Dead+Thing+Official+Audio+Beetlejuice,3:44
"Ready Set, Not Yet",Beetlejuice,Original Broadway,Beetlejuice (OBCR),120,https://www.youtube.com/results?search_query=Ready+Set+Not+Yet+Official+Audio+Beetlejuice,3:42
"The Whole ""Being Dead"" Thing, Pt. 2",Beetlejuice,Original Broadway,Beetlejuice (OBCR),154,https://www.youtube.com/results?search_query=The+Whole+Being+Dead+Thing+Pt+2+Official+Audio+Beetlejuice,1:40
Dead Mom,Beetlejuice,Original Broadway,Beetlejuice (OBCR),150,https://www.youtube.com/results?search_query=Dead+Mom+Official+Audio+Beetlejuice,3:04
Fright of Their Lives,Beetlejuice,Original Broadway,Beetlejuice (OBCR),135,https://www.youtube.com/results?search_query=Fright+of+Their+Lives+Official+Audio+Beetlejuice,3:45
"Ready Set, Not Yet (Reprise)",Beetlejuice,Original Broadway,Beetlejuice (OBCR),120,https://www.youtube.com/results?search_query=Ready+Set+Not+Yet+Reprise+Official+Audio+Beetlejuice,0:59
No Reason,Beetlejuice,Original Broadway,Beetlejuice (OBCR),128,https://www.youtube.com/results?search_query=No+Reason+Official+Audio+Beetlejuice,3:12
Invisible (Reprise) / On the Roof,Beetlejuice,Original Broadway,Beetlejuice (OBCR),85,https://www.youtube.com/results?search_query=Invisible+Reprise+On+the+Roof+Official+Audio+Beetlejuice,1:48
Say My Name,Beetlejuice,Original Broadway,Beetlejuice (OBCR),128,https://www.youtube.com/results?search_query=Say+My+Name+Official+Audio+Beetlejuice,3:55
Day-O (The Banana Boat Song),Beetlejuice,Original Broadway,Beetlejuice (OBCR),115,https://www.youtube.com/results?search_query=Day-O+The+Banana+Boat+Song+Official+Audio+Beetlejuice,3:44
Girl Scout,Beetlejuice,Original Broadway,Beetlejuice (OBCR),105,https://www.youtube.com/results?search_query=Girl+Scout+Official+Audio+Beetlejuice,2:27
That Beautiful Sound,Beetlejuice,Original Broadway,Beetlejuice (OBCR),142,https://www.youtube.com/results?search_query=That+Beautiful+Sound+Official+Audio+Beetlejuice,5:15
Barbara 2.0,Beetlejuice,Original Broadway,Beetlejuice (OBCR),108,https://www.youtube.com/results?search_query=Barbara+2+0+Official+Audio+Beetlejuice,3:26
What I Know Now,Beetlejuice,Original Broadway,Beetlejuice (OBCR),125,https://www.youtube.com/results?search_query=What+I+Know+Now+Official+Audio+Beetlejuice,3:35
Home,Beetlejuice,Original Broadway,Beetlejuice (OBCR),75,https://www.youtube.com/results?search_query=Home+Official+Audio+Beetlejuice,3:48
Creepy Old Guy,Beetlejuice,Original Broadway,Beetlejuice (OBCR),124,https://www.youtube.com/results?search_query=Creepy+Old+Guy+Official+Audio+Beetlejuice,4:23
Jump in the Line,Beetlejuice,Original Broadway,Beetlejuice (OBCR),115,https://www.youtube.com/results?search_query=Jump+in+the+Line+Official+Audio+Beetlejuice,2:06
Circle of Life,The Lion King,Original Broadway,The Lion King (OBCR),85,https://www.youtube.com/results?search_query=Circle+of+Life+Official+Audio+Lion+King+Broadway,4:30
Grasslands Chant,The Lion King,Original Broadway,The Lion King (OBCR),100,https://www.youtube.com/results?search_query=Grasslands+Chant+Official+Audio+Lion+King+Broadway,2:23
The Morning Report,The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=The+Morning+Report+Official+Audio+Lion+King+Broadway,2:32
The Lioness Hunt,The Lion King,Original Broadway,The Lion King (OBCR),125,https://www.youtube.com/results?search_query=The+Lioness+Hunt+Official+Audio+Lion+King+Broadway,2:05
I Just Can't Wait to Be King,The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=I+Just+Cant+Wait+to+Be+King+Official+Audio+Lion+King+Broadway,3:03
Chow Down,The Lion King,Original Broadway,The Lion King (OBCR),135,https://www.youtube.com/results?search_query=Chow+Down+Official+Audio+Lion+King+Broadway,3:18
They Live in You,The Lion King,Original Broadway,The Lion King (OBCR),94,https://www.youtube.com/results?search_query=They+Live+in+You+Official+Audio+Lion+King+Broadway,3:02
Be Prepared,The Lion King,Original Broadway,The Lion King (OBCR),105,https://www.youtube.com/results?search_query=Be+Prepared+Official+Audio+Lion+King+Broadway,3:27
The Stampede,The Lion King,Original Broadway,The Lion King (OBCR),140,https://www.youtube.com/results?search_query=The+Stampede+Official+Audio+Lion+King+Broadway,2:39
Rafiki Mourns,The Lion King,Original Broadway,The Lion King (OBCR),60,https://www.youtube.com/results?search_query=Rafiki+Mourns+Official+Audio+Lion+King+Broadway,2:05
Hakuna Matata,The Lion King,Original Broadway,The Lion King (OBCR),120,https://www.youtube.com/results?search_query=Hakuna+Matata+Official+Audio+Lion+King+Broadway,3:14
One by One,The Lion King,Original Broadway,The Lion King (OBCR),108,https://www.youtube.com/results?search_query=One+by+One+Official+Audio+Lion+King+Broadway,1:52
The Madness of King Scar,The Lion King,Original Broadway,The Lion King (OBCR),110,https://www.youtube.com/results?search_query=The+Madness+of+King+Scar+Official+Audio+Lion+King+Broadway,5:28
Shadowland,The Lion King,Original Broadway,The Lion King (OBCR),64,https://www.youtube.com/results?search_query=Shadowland+Official+Audio+Lion+King+Broadway,4:29
The Lion Sleeps Tonight,The Lion King,Original Broadway,The Lion King (OBCR),115,https://www.youtube.com/results?search_query=The+Lion+Sleeps+Tonight+Official+Audio+Lion+King+Broadway,1:10
Endless Night,The Lion King,Original Broadway,The Lion King (OBCR),88,https://www.youtube.com/results?search_query=Endless+Night+Official+Audio+Lion+King+Broadway,4:42
Can You Feel the Love Tonight,The Lion King,Original Broadway,The Lion King (OBCR),65,https://www.youtube.com/results?search_query=Can+You+Feel+the+Love+Tonight+Official+Audio+Lion+King+Broadway,5:00
He Lives in You (Reprise),The Lion King,Original Broadway,The Lion King (OBCR),94,https://www.youtube.com/results?search_query=He+Lives+in+You+Reprise+Official+Audio+Lion+King+Broadway,4:13
Simba Confronts Scar,The Lion King,Original Broadway,The Lion King (OBCR),120,https://www.youtube.com/results?search_query=Simba+Confronts+Scar+Official+Audio+Lion+King+Broadway,2:26
King of Pride Rock / Circle of Life (Reprise),The Lion King,Original Broadway,The Lion King (OBCR),85,https://www.youtube.com/results?search_query=King+of+Pride+Rock+Circle+of+Life+Reprise+Official+Audio+Lion+King+Broadway,3:23
